family,seed,policy,related_tasks,off_solved,on_solved,verify_minus_off_success_fraction,off_mean_cost_usd,on_mean_cost_usd,verify_minus_off_mean_cost_usd
edit_distance,31,supervised_cost,3,3,3,0.0,0.0005459999999999999,0.0014043333333333334,0.0008583333333333335
edit_distance,47,adaptive,3,3,3,0.0,0.00015266666666666667,0.000166,1.3333333333333323e-05
edit_distance,47,cheap_only,3,3,3,0.0,0.000194,0.0002483333333333333,5.433333333333332e-05
edit_distance,47,escalate_on_failure,3,3,3,0.0,0.00023633333333333332,0.00018633333333333333,-4.9999999999999996e-05
edit_distance,47,static_router,3,3,3,0.0,0.000144,0.000367,0.00022299999999999997
edit_distance,47,strong_only,3,3,3,0.0,0.00016266666666666667,0.00011466666666666667,-4.8e-05
edit_distance,47,supervised_cost,3,3,3,0.0,0.00011166666666666667,0.000115,3.3333333333333376e-06
edit_distance,73,adaptive,3,3,3,0.0,0.000134,0.00013133333333333335,-2.666666666666659e-06
edit_distance,73,cheap_only,3,3,3,0.0,0.0005573333333333334,0.0005470000000000001,-1.0333333333333332e-05
edit_distance,73,escalate_on_failure,3,3,3,0.0,0.00035966666666666666,0.00039,3.033333333333333e-05
edit_distance,73,static_router,3,3,3,0.0,0.00027433333333333335,0.000162,-0.00011233333333333334
edit_distance,73,strong_only,3,3,3,0.0,0.000157,0.000142,-1.4999999999999985e-05
edit_distance,73,supervised_cost,3,3,3,0.0,0.000142,0.000164,2.1999999999999993e-05
edit_distance,101,adaptive,3,3,3,0.0,0.0005523333333333334,0.00014166666666666668,-0.0004106666666666667
edit_distance,101,cheap_only,3,3,3,0.0,0.00011866666666666667,0.00018033333333333334,6.166666666666667e-05
edit_distance,101,escalate_on_failure,3,3,3,0.0,0.00017666666666666666,0.00031066666666666666,0.000134
edit_distance,101,static_router,3,3,3,0.0,0.00018166666666666667,0.00013233333333333332,-4.933333333333336e-05
edit_distance,101,strong_only,3,3,3,0.0,0.00012066666666666667,0.000149,2.8333333333333322e-05
edit_distance,101,supervised_cost,3,3,3,0.0,0.00010866666666666667,0.000128,1.933333333333332e-05
expression_engine,31,adaptive,3,3,3,0.0,0.00096,0.0005313333333333333,-0.0004286666666666667
expression_engine,31,cheap_only,3,3,3,0.0,0.00012966666666666666,8.833333333333333e-05,-4.1333333333333326e-05
expression_engine,31,escalate_on_failure,3,3,3,0.0,7.866666666666666e-05,7.666666666666667e-05,-1.9999999999999944e-06
expression_engine,31,static_router,3,3,3,0.0,8.2e-05,0.00010166666666666667,1.9666666666666666e-05
expression_engine,31,strong_only,3,3,3,0.0,0.00011566666666666667,0.00012466666666666667,9.000000000000002e-06
expression_engine,31,supervised_cost,3,3,3,0.0,0.00011566666666666667,0.0005363333333333333,0.00042066666666666663
expression_engine,47,adaptive,3,3,3,0.0,0.00012466666666666667,0.00013133333333333332,6.666666666666648e-06
expression_engine,47,cheap_only,3,3,3,0.0,8.533333333333334e-05,9.766666666666666e-05,1.2333333333333326e-05
expression_engine,47,escalate_on_failure,3,3,3,0.0,8.1e-05,7.9e-05,-2.000000000000008e-06
expression_engine,47,static_router,3,3,3,0.0,7.833333333333333e-05,7.833333333333333e-05,0.0
expression_engine,47,strong_only,3,3,3,0.0,0.00012,0.00013233333333333334,1.233333333333334e-05
